feature,coefficient,abs_coefficient
vaccine_trust,-2.449761643782818,2.449761643782818
condition_pregnant,-1.536763191751669,1.536763191751669
race_2,0.9865242279387608,0.9865242279387608
condition_immune,-0.9807724020055998,0.9807724020055998
party_id_Libertarian,0.9723850985728048,0.9723850985728048
president_approval,-0.7638703927919595,0.7638703927919595
perceived_network_risk,-0.40938129308988813,0.40938129308988813
condition_organ,0.4081085943491555,0.4081085943491555
party_id_Other party,0.4021918487991426,0.4021918487991426
age,-0.3901906640917159,0.3901906640917159
college,-0.3445127600030458,0.3445127600030458
trump_approval_retrospective,0.3400079980840815,0.3400079980840815
trust_media,0.32788459563884864,0.32788459563884864
trust_gov_local,0.24042487423156286,0.24042487423156286
trust_gov_state,0.18717601360402017,0.18717601360402017
race_3,0.1834619790030607,0.1834619790030607
trust_science_polmotives,0.17534739776482383,0.17534739776482383
income,-0.1732364492398661,0.1732364492398661
fear_needles,0.1618265186037635,0.1618265186037635
infected_network,-0.14690972922040196,0.14690972922040196
infected_personal,0.14456827069414085,0.14456827069414085
doctor_comfort,-0.14242995808687672,0.14242995808687672
party_id_Independent,0.13351451726381272,0.13351451726381272
condition_asthma,-0.13219262447719862,0.13219262447719862
condition_obesity,-0.12240258111955787,0.12240258111955787
male,0.10630031853042306,0.10630031853042306
trust_science_politicians,-0.10518836062643352,0.10518836062643352
race_4,-0.10384268358043974,0.10384268358043974
condition_diabetes,-0.09790803651322408,0.09790803651322408
condition_heart,-0.0893481252845026,0.0893481252845026
nsindex,-0.07724621903865857,0.07724621903865857
psindex,-0.07156341753997214,0.07156341753997214
individual_responsibility,0.06562367951991166,0.06562367951991166
pandemic_impact_network,-0.05525377900741275,0.05525377900741275
trust_science_media,0.052306671058691384,0.052306671058691384
trust_gov_nat,0.0491253770347745,0.0491253770347745
condition_lung,0.04833942258396206,0.04833942258396206
perceived_personal_riskq297_4,-0.037743386762779496,0.037743386762779496
pandemic_impact_personal,0.027261014328615794,0.027261014328615794
evangelical,-0.025946148552547427,0.025946148552547427
county_density,-0.012554589874356217,0.012554589874356217
trust_science_community,-0.0023751182685218812,0.0023751182685218812
party_id_Republican,-0.001756461473787654,0.001756461473787654
